seat_code,state,seat,current_party,personal_name,Jawatankuasa Pemilih-Dewan Rakyat ,Jawatankuasa Peraturan Mesyuarat ,Jawatankuasa Dewan ,Jawatankuasa Hak dan Kebebasan ,Jawatankuasa Pilihan Khas Kebebasan Asasi Dan Hak-Hak Di Bawah Perlembagaan ,Jawatankuasa Pilihan Khas Kewangan Dan Ekonomi ,Jawatankuasa Pilihan Khas Keselamatan ,Jawatankuasa Pilihan Khas Bagi Agensi-Agensi Di Bawah Jabatan Perdana Menteri ,Jawatankuasa Pilihan Khas Pertanian Dan Perdagangan Dalam Negeri ,Jawatankuasa Pilihan Khas Pembangunan Infrastruktur ,Jawatankuasa Pilihan Khas Pendidikan ,Jawatankuasa Pilihan Khas Hal Ehwal Wanita Dan Kanak-Kanak Dan Pembangunan Sosial ,"JAWATANKUASA PILIHAN KHAS KESIHATAN, SAINS DAN INOVASI  ",JAWATANKUASA PILIHAN KHAS HAL EHWAL ANTARABANGSA ,Jawatankuasa Pilihan Khas Menimbang Rang Undang-Undang Perlembagaan (Pindaan) (No.3) 2022 dan Mengenai Peruntukan Larangan Ahli Dewan Rakyat Bertukar Parti 
P051,Pulau Pinang,Bukit Gelugor,DAP,RAMKARPAL SINGH A/L KARPAL SINGH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P052,Pulau Pinang,Bayan Baru,PKR,SIM TZE TZIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P053,Pulau Pinang,Balik Pulau,PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P055,Perak,Lenggong,UMNO,SHAMSUL ANUAR BIN NASARAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P056,Perak,Larut,PPBM,HAMZAH BIN ZAINUDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P057,Perak,Parit Buntar,AMANAH,MUJAHID BIN YUSOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P058,Perak,Bagan Serai,PPBM,NOOR AZMI BIN GHAZALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P059,Perak,Bukit Gantang,PPBM,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P060,Perak,Taiping,DAP,TEH KOK LIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P061,Perak,Padang Rengas,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P062,Perak,Sungai Siput,PKR,KESAVAN A/L SUBRAMANIAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P063,Perak,Tambun,PPBM,AHMAD FAIZAL BIN AZUMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P064,Perak,Ipoh Timur,DAP,WONG KAH WOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P065,Perak,Ipoh Barat,DAP,M. KULASEGARAN A/L V. MURUGESON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P066,Perak,Batu Gajah,DAP,SIVAKUMAR A/L VARATHARAJU NAIDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P067,Perak,Kuala Kangsar,UMNO,MASTURA BINTI MOHD YAZID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P068,Perak,Beruas,DAP,NGEH KOO HAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P069,Perak,Parit,UMNO,MOHD NIZAR BIN ZAKARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P070,Perak,Kampar,DAP,SU KEONG SIONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P071,Perak,Gopeng,PKR,LEE BOON CHYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P072,Perak,Tapah,MIC,SARAVANAN A/L MURUGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P073,Perak,Pasir Salak,UMNO,TAJUDDIN BIN ABDUL RAHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P074,Perak,Lumut,AMANAH,MOHD HATTA BIN MD RAMLI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P075,Perak,Bagan Datuk,UMNO,AHMAD ZAHID BIN HAMIDI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P076,Perak,Teluk Intan,DAP,NGA KOR MING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P077,Perak,Tanjong Malim,PKR,CHANG LIH KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P078,Pahang,Cameron Highlands,UMNO,RAMLI BIN DATO' MOHD NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P079,Pahang,Lipis,UMNO,ABDUL RAHMAN BIN MOHAMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P080,Pahang,Raub,DAP,TENGKU ZULPURI SHAH BIN RAJA PUJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P081,Pahang,Jerantut,UMNO,AHMAD NAZLAN BIN IDRIS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P082,Pahang,Indera Mahkota,PPBM,SAIFUDDIN BIN ABDULLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P083,Pahang,Kuantan,PKR,FUZIAH BINTI SALLEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P084,Pahang,Paya Besar,UMNO,MOHD SHAHAR BIN ABDULLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P085,Pahang,Pekan,UMNO,MOHD NAJIB BIN TUN ABD RAZAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P086,Pahang,Maran,UMNO,ISMAIL BIN ABD. MUTTALIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P087,Pahang,Kuala Krau,UMNO,ISMAIL BIN MOHAMED SAID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P088,Pahang,Temerloh,AMANAH,MOHD. ANUAR MOHD. TAHIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P089,Pahang,Bentong,DAP,WONG TACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P090,Pahang,Bera,UMNO,ISMAIL SABRI BIN YAAKOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P091,Pahang,Rompin,UMNO,HASAN BIN ARIFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P092,Selangor,Sabak Bernam,PPBM,MOHD FASIAH BIN MOHD FAKEH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P093,Selangor,Sungai Besar,PPBM,MUSLIMIN BIN YAHAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P094,Selangor,Hulu Selangor,PKR,JUNE LEOW HSIAD HUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P095,Selangor,Tanjong Karang,UMNO,NOH BIN OMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P096,Selangor,Kuala Selangor,AMANAH,DZULKEFLY BIN AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P097,Selangor,Selayang,PKR,WILLIAM LEONG JEE KEEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P098,Selangor,Gombak,PPBM,MOHAMED AZMIN BIN ALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P099,Selangor,Ampang,PPBM,ZURAIDA BINTI KAMARUDDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P100,Selangor,Pandan,PKR,WAN AZIZAH BINTI WAN ISMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P101,Selangor,Hulu Langat,AMANAH,HASANUDDIN BIN MOHD YUNUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P102,Selangor,Bangi,DAP,ONG KIAN MING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P103,Selangor,Puchong,DAP,GOBIND SINGH DEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P104,Selangor,Subang,PKR,WONG CHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P105,Selangor,Petaling Jaya,PKR,MARIA CHIN BINTI ABDULLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P106,Selangor,Damansara,DAP,PUA KIAM WEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P107,Selangor,Sungai Buloh,PKR,SIVARASA A/L K. RASIAH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P108,Selangor,Shah Alam,AMANAH,KHALID BIN ABD SAMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P109,Selangor,Kapar,PKR,ABDULLAH SANI BIN ABDUL HAMID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P110,Selangor,Klang,DAP,CHARLES ANTHONY A/L SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P111,Selangor,Kota Raja,AMANAH,MOHAMAD BIN SABU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P112,Selangor,Kuala Langat,IND,XAVIER JAYAKUMAR A/L ARULANANDRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P113,Selangor,Sepang,AMANAH,MOHAMED HANIPA BIN MAIDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P114,W.P. Kuala Lumpur,Kepong,DAP,LIM LIP ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P115,W.P. Kuala Lumpur,Batu,PKR,PRABAKARAN A/L M PARAMESWARAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P116,W.P. Kuala Lumpur,Wangsa Maju,PKR,TAN YEE KEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P117,W.P. Kuala Lumpur,Segambut,DAP,YEOH TSEOW SUAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P118,W.P. Kuala Lumpur,Setiawangsa,PKR,NIK NAZMI BIN NIK AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P119,W.P. Kuala Lumpur,Titiwangsa,PPBM,RINA BINTI MOHD HARUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P120,W.P. Kuala Lumpur,Bukit Bintang,DAP,FONG KUI LUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P121,W.P. Kuala Lumpur,Lembah Pantai,PKR,AHMAD FAHMI BIN MOHAMED FADZIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P122,W.P. Kuala Lumpur,Seputeh,DAP,TERESA KOK SUH SIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P123,W.P. Kuala Lumpur,Cheras,DAP,TAN KOK WAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P124,W.P. Kuala Lumpur,Bandar Tun Razak,PPBM,KAMARUDIN BIN JAFFAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P125,W.P. Putrajaya,Putrajaya,UMNO,TENGKU ADNAN BIN TENGKU MANSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P126,Negeri Sembilan,Jelebu,UMNO,JALALUDDIN BIN ALIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P127,Negeri Sembilan,Jempol,UMNO,MOHD SALIM BIN SHARIF @ MOHD SHARIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P128,Negeri Sembilan,Seremban,DAP,LOKE SIEW FOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P129,Negeri Sembilan,Kuala Pilah,PPBM,EDDIN SYAZLEE BIN SHITH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P130,Negeri Sembilan,Rasah,DAP,CHA KEE CHIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P131,Negeri Sembilan,Rembau,UMNO,KHAIRY JAMALUDDIN ABU BAKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P132,Negeri Sembilan,Port Dickson,PKR,ANWAR BIN IBRAHIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P133,Negeri Sembilan,Tampin,AMANAH,HASAN BIN BAHROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P134,Melaka,Masjid Tanah,PPBM,MAS ERMIEYATI BINTI SAMSUDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P135,Melaka,Alor Gajah,PPBM,MOHD REDZUAN BIN YUSOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P136,Melaka,Tangga Batu,PKR,RUSNAH BINTI ALUAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P137,Melaka,Hang Tuah Jaya,PKR,SHAMSUL ISKANDAR @ YUSRE BIN MOHD AKIN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P138,Melaka,Kota Melaka,DAP,KHOO POAY TIONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P139,Melaka,Jasin,UMNO,AHMAD BIN HAMZAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P140,Johor,Segamat,PPBM,SANTHARA KUMAR A/L RAMANAIDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P141,Johor,Sekijang,PKR,NATRAH BINTI ISMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P142,Johor,Labis,DAP,PANG HOK LIONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P143,Johor,Pagoh,PPBM,MAHIADDIN BIN MD YASIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P144,Johor,Ledang,PKR,SYED IBRAHIM BIN SYED NOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P145,Johor,Bakri,DAP,YEO BEE YIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P146,Johor,Muar,MUDA,SYED SADDIQ BIN SYED ABDUL RAHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P147,Johor,Parit Sulong,UMNO,NORAINI BINTI AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P148,Johor,Ayer Hitam,MCA,WEE KA SIONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P149,Johor,Sri Gading,PEJUANG,SHARUDDIN BIN MD SALLEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P150,Johor,Batu Pahat,PPBM,MOHD RASHID BIN HASNON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P151,Johor,Simpang Renggam,PKR,MASZLEE BIN MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P152,Johor,Kluang,DAP,WONG SHU QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P153,Johor,Sembrong,UMNO,HISHAMMUDDIN BIN DATUK HUSSEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P154,Johor,Mersing,PPBM,ABD LATIFF BIN AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P155,Johor,Tenggara,UMNO,ADHAM BIN BABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P156,Johor,Kota Tinggi,UMNO,HALIMAH BINTI MOHD SADIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P157,Johor,Pengerang,UMNO,AZALINA BINTI OTHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P158,Johor,Tebrau,Independent,CHOONG SHIAU YOON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P159,Johor,Pasir Gudang,PKR,HASSAN BIN ABDUL KARIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P160,Johor,Johor Bahru,PKR,AKMAL NASRULLAH BIN MOHD NASIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P161,Johor,Pulai,AMANAH,SALAHUDDIN BIN AYUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P162,Johor,Iskandar Puteri,DAP,LIM KIT SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P163,Johor,Kulai,DAP,TEO NIE CHING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P164,Johor,Pontian,UMNO,AHMAD BIN MASLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P165,Johor,Tanjung Piai,MCA,WEE JECK SENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P166,W.P. Labuan,Labuan,WARISAN,ROZMAN BIN ISLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P167,Sabah,Kudat,PPBM,ABD RAHIM BIN BAKRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P168,Sabah,Kota Marudu,PBS,JOHNITY @ MAXIMUS BIN ONGKILI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P169,Sabah,Kota Belud,WARISAN,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P170,Sabah,Tuaran,UPKO,MADIUS BIN TANGAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P171,Sabah,Sepanggar,WARISAN,MOHD AZIS BIN JAMMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P172,Sabah,Kota Kinabalu,DAP,CHAN FOONG HIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P173,Sabah,Putatan,PKR,AWANG HUSAINI BIN SAHARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P174,Sabah,Penampang,WARISAN,IGNATIUS DARELL LEIKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P175,Sabah,Papar,WARISAN,AHMAD BIN HASSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P176,Sabah,Kimanis,UMNO,MOHAMAD BIN ALAMIN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P177,Sabah,Beaufort,PPBM,AZIZAH BINTI MOHD DUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P178,Sabah,Sipitang,PPBM,YAMANI HAFEZ BIN MUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P179,Sabah,Ranau,PPBM,JONATHAN BIN YASIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P180,Sabah,Keningau,STAR,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P181,Sabah,Tenom,DAP,NOORITA BINTI SUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P182,Sabah,Pensiangan,PBRS,ARTHUR JOSEPH KURUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P183,Sabah,Beluran,PPBM,RONALD KIANDEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P184,Sabah,Libaran,PPBM,ZAKARIA BIN MOHD. EDRIS @ TUBAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P186,Sabah,Sandakan,DAP,VIVIAN WONG SHIR YEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P187,Sabah,Kinabatangan,UMNO,MOKTAR BIN RADIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P188,Sabah,Lahad Datu,WARISAN,MOHAMADDIN BIN KETAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P189,Sabah,Semporna,WARISAN,MOHD. SHAFIE BIN APDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
